Date,closing_price,adj_close_price,Tweets
17/08/15,93.419998,91.306053,
18/08/15,92.510002,90.416656,
19/08/15,90.339996,88.295753,
20/08/15,90.519997,88.47168,
21/08/15,93.879997,91.755653,
22/08/15,93.489998,91.374474,
23/08/15,94.559998,92.420265,
24/08/15,94.199997,92.068405,
25/08/15,95.220001,93.065338,
26/08/15,96.43,94.24794,
27/08/15,97.900002,95.684692,
28/08/15,99.620003,97.365761,
29/08/15,100.410004,98.137901,
30/08/15,100.349998,98.079239,
31/08/15,99.860001,97.600334,
01/09/15,98.459999,96.232025,
02/09/15,97.720001,95.508759,
03/09/15,97.919998,95.704224,
04/09/15,98.629997,96.398163,
05/09/15,99.029999,96.789108,
06/09/15,98.940002,96.701157,
07/09/15,99.650002,97.395081,
08/09/15,98.830002,96.593636,
09/09/15,97.339996,95.137352,
10/09/15,97.459999,95.254646,
11/09/15,97.139999,94.941887,
12/09/15,97.550003,95.342613,
13/09/15,95.330002,93.172836,
14/09/15,95.099998,92.948044,
15/09/15,95.910004,93.739723,
16/09/15,95.550003,93.387871,
17/09/15,96.099998,93.925415,
18/09/15,93.400002,91.286514,
19/09/15,92.040001,89.957291,
20/09/15,93.589996,91.472214,
21/09/15,94.400002,92.263885,
22/09/15,95.599998,93.436729,
23/09/15,95.889999,93.720169,
24/09/15,94.989998,92.840523,
25/09/15,95.529999,93.368317,
26/09/15,95.940002,93.769043,
27/09/15,96.68,94.492294,
28/09/15,96.980003,94.7855,
29/09/15,97.419998,95.215546,
30/09/15,96.870003,94.678001,
01/10/15,98.790001,96.554558,
02/10/15,98.779999,96.544777,
03/10/15,99.830002,97.571014,
04/10/15,99.870003,97.610107,
05/10/15,99.959999,97.698074,
06/10/15,99.43,97.180069,
07/10/15,98.660004,96.42749,
08/10/15,97.339996,95.137352,
09/10/15,96.669998,94.482521,
10/10/15,102.949997,100.620415,
11/10/15,104.339996,101.978951,
12/10/15,104.209999,101.851898,
13/10/15,106.050003,103.650261,
14/10/15,104.480003,102.115791,
15/10/15,105.790001,103.396149,
16/10/15,105.870003,104.034889,
17/10/15,107.480003,105.616966,
18/10/15,108.370003,106.491547,
19/10/15,108.809998,106.92392,
20/10/15,108,106.12796,
21/10/15,107.93,106.059174,
22/10/15,108.18,106.30484,
23/10/15,109.480003,107.582306,
24/10/15,109.379997,107.484032,
25/10/15,109.220001,107.32682,
26/10/15,109.080002,107.189247,
27/10/15,109.360001,107.464386,
28/10/15,108.510002,106.62912,
29/10/15,108.849998,106.963219,
30/10/15,108.029999,106.15744,
31/10/15,107.57,105.705414,
01/11/15,106.940002,105.086334,
02/11/15,106.82,104.968414,
03/11/15,106,104.162621,
04/11/15,106.099998,104.260887,
05/11/15,106.730003,104.879982,
06/11/15,107.730003,105.862648,
07/11/15,107.699997,105.833153,
08/11/15,108.360001,106.48172,
09/11/15,105.519997,103.690956,
10/11/15,103.129997,101.342369,
11/11/15,105.440002,103.612335,
12/11/15,107.949997,106.078827,
13/11/15,111.769997,109.832603,
14/11/15,115.57,113.566742,
15/11/15,114.919998,112.928009,
16/11/15,113.580002,111.611237,
17/11/15,113.57,111.60141,
18/11/15,113.550003,111.581757,
19/11/15,114.620003,112.633217,
20/11/15,112.709999,110.756317,
21/11/15,112.879997,110.923363,
22/11/15,113.089996,111.129723,
23/11/15,113.949997,111.974823,
24/11/15,112.18,110.235504,
25/11/15,113.050003,111.090431,
26/11/15,112.519997,110.569603,
27/11/15,113,111.04129,
28/11/15,113.050003,111.090431,
29/11/15,113.889999,111.915863,
30/11/15,114.059998,112.082916,
01/12/15,116.050003,114.038429,
02/12/15,116.300003,114.284088,
03/12/15,117.339996,115.306061,
04/12/15,116.980003,114.952301,
05/12/15,117.629997,115.591034,
06/12/15,117.550003,115.512428,
07/12/15,117.470001,115.433815,
08/12/15,117.120003,115.089874,
09/12/15,117.059998,115.030914,
10/12/15,116.599998,114.57888,
11/12/15,117.650002,115.61068,
12/12/15,118.25,116.200294,
13/12/15,115.589996,113.586395,
14/12/15,114.480003,112.495644,
15/12/15,113.720001,111.748817,
16/12/15,113.540001,111.57193,
17/12/15,111.489998,109.557465,
18/12/15,111.589996,109.655731,
19/12/15,109.830002,108.480354,
20/12/15,108.839996,107.502518,
21/12/15,110.410004,109.053238,
22/12/15,111.059998,109.695236,
23/12/15,110.879997,109.517456,
24/12/15,107.790001,106.465424,
25/12/15,108.43,107.097557,
26/12/15,105.709999,104.41098,
27/12/15,107.110001,105.793777,
28/12/15,109.989998,108.638382,
29/12/15,109.949997,108.598877,
30/12/15,110.059998,108.707527,
31/12/15,111.730003,110.35701,
01/01/16,111.800003,110.426147,
02/01/16,111.230003,109.863159,
03/01/16,111.790001,110.416275,
04/01/16,111.57,110.198975,
05/01/16,111.459999,110.090332,
06/01/16,110.519997,109.16188,
07/01/16,109.489998,108.144531,
08/01/16,109.900002,108.5495,
09/01/16,109.110001,107.769203,
10/01/16,109.949997,108.598877,
11/01/16,111.029999,109.665604,
12/01/16,112.120003,110.742218,
13/01/16,113.949997,112.549728,
14/01/16,113.300003,111.907722,
15/01/16,115.190002,113.77449,
16/01/16,115.190002,113.77449,
17/01/16,115.82,114.396751,
18/01/16,115.970001,114.544907,
19/01/16,116.639999,115.206673,
20/01/16,116.949997,115.512863,
21/01/16,117.059998,115.621513,
22/01/16,116.290001,114.860977,
23/01/16,116.519997,115.088142,
24/01/16,117.260002,115.819054,
25/01/16,116.760002,115.325203,
26/01/16,116.730003,115.29557,
27/01/16,115.82,114.396751,
28/01/16,116.150002,114.722694,
29/01/16,116.019997,114.594292,
30/01/16,116.610001,115.17704,
31/01/16,117.910004,116.461075,
01/02/16,118.989998,117.527794,
02/02/16,119.110001,117.646317,
03/02/16,119.75,118.278458,
04/02/16,119.25,117.784599,
05/02/16,119.040001,117.577179,
06/02/16,120,118.525383,
07/02/16,119.989998,118.515503,
08/02/16,119.779999,118.308083,
09/02/16,120,118.525383,
10/02/16,120.080002,118.604401,
11/02/16,119.970001,118.495758,
12/02/16,121.879997,120.382278,
13/02/16,121.940002,120.441551,
14/02/16,121.949997,120.451416,
15/02/16,121.629997,120.135345,
16/02/16,121.349998,119.858795,
17/02/16,128.75,127.167854,
18/02/16,128.529999,126.950554,
19/02/16,129.080002,127.493805,
20/02/16,130.289993,128.688934,
21/02/16,131.529999,129.913696,
22/02/16,132.039993,130.417435,
23/02/16,132.419998,131.359818,
24/02/16,132.119995,131.062225,
25/02/16,133.289993,132.222839,
26/02/16,135.020004,133.939011,
27/02/16,135.509995,134.425079,
28/02/16,135.350006,134.266357,
29/02/16,135.720001,134.633408,
01/03/16,136.699997,135.60556,
02/03/16,137.110001,136.012268,
03/03/16,136.529999,135.43692,
04/03/16,136.660004,135.565887,
05/03/16,136.929993,135.83371,
06/03/16,136.990005,135.89325,
07/03/16,139.789993,138.670807,
08/03/16,138.960007,137.847473,
09/03/16,139.779999,138.660889,
10/03/16,139.339996,138.224426,
11/03/16,139.520004,138.402985,
